t,tf0,ts0
0.0,878.4501448720666,294.8292009708082
1954.914,869.6292547609089,602.4045112382779
3937.3619999999996,868.5652083014531,748.1565756586349
5892.276,875.2711640154034,819.0740441823957
7847.19,871.5366306622977,845.287256123813
9802.104,870.782703778293,858.3452783443904
11784.552,870.7429437475851,864.8505110119057
13739.466,873.4621004510082,870.6090262370273
15694.38,871.7628911653429,870.3785212468343
17649.293999999998,877.2936967273954,876.6120664428985
19631.742,874.1013242079174,873.7704518329499
21586.656,877.0438441144628,876.8796424220926
23541.57,873.4197395647323,873.3937868861844
25496.484,876.0065988681216,875.9988266445395
27478.932,875.6641996298184,875.6590781823297
29433.845999999998,869.9024821706992,869.8978085753736
31388.76,874.1077214786602,874.1031159097718
33371.208,872.8277150492462,872.8231431089499
35326.121999999996,874.0768133417643,874.0722397520261
37281.036,872.46836841266,872.4637961917775
39235.95,875.1688082561507,875.1642065652001
41218.398,865.2504985580249,865.2459274945699
43173.312,870.7213514293552,870.7167254189634
45128.225999999995,868.3838147931014,869.7865344301897
47083.14,865.123665106397,870.0406950078664
49065.587999999996,853.4795414298998,863.9302370718353
51020.502,829.1381190393366,846.2493063434832
52975.416,803.0255900580852,827.3390771991868
54957.864,769.6024831464591,800.8518516814712
56912.778,724.7485795227662,761.4537196995786
58867.691999999995,689.3564322951946,730.6674957849222
60822.606,644.2953430136553,688.0563623598887
62805.054,599.1537732313926,643.6539630919112
64759.968,559.778219896803,603.7126996068321
66714.882,572.3033838246199,577.6065031643486
68669.796,574.7041874127015,574.7985005229679
70652.24399999999,568.0501511479691,567.549996913851
72607.158,568.3895749998026,567.8692352882039
74562.072,573.926260771389,573.4387840690163
76516.98599999999,569.5469522764167,569.0991529262557
78499.434,570.8984965235502,570.4796652751123
80454.348,570.8330185673707,570.438628460008
82409.262,561.7652452768585,561.3973090962091
84391.70999999999,560.27863009623,559.929133369902
86346.624,567.9768676288896,567.6377290991131
88301.538,877.3590773537875,728.9567565209479
90256.45199999999,872.4708792477423,805.0134734215569
92238.9,872.6815265192946,841.7079527757555
94193.814,872.5289591388384,857.9745999658448
96148.728,871.9308360869251,865.0215119811362
98103.64199999999,876.1606691035988,872.8318210335221
100086.09,872.0190844527649,870.4339476610812
102041.004,872.9946695182493,872.2221270308161
103995.91799999999,874.9294404153198,874.5501495597374
105950.832,863.2132330108216,863.0288887095828
107933.28,863.0447173088933,862.9543638611159
109888.19399999999,877.7671588593759,877.7521693099098
111843.108,873.4209911102449,873.4166218397161
113825.556,876.5537885702458,876.5509352518283
115780.47,866.350921516306,866.3483363198608
117735.38399999999,875.9675137943829,875.9649490198196
119690.298,873.0905051659045,873.0879613709051
121672.746,876.8868870877445,876.8843326446349
123627.65999999999,874.3470850098695,874.3445316854836
125582.574,870.8948042829103,870.892250253884
127537.488,875.8515042028624,875.8489214153186
129519.936,870.5700536846152,870.5674695122854
131474.85,870.380638979021,871.1472178475111
133429.764,859.5282756031089,862.3507608610488
135384.67799999999,856.8399547211503,863.1037776589698
137367.126,844.4370712633114,855.3040451324382
139322.04,827.7165944435809,843.8193357818171
141276.954,803.5462926341431,825.0145141395899
143259.402,779.9441391134295,806.7228584163616
145214.316,736.8526674831081,767.5725999917412
147169.22999999998,705.473764026158,739.7182431118234
149124.144,668.4425717162253,704.9342439928528
151106.592,631.1633613484674,668.8274608842341
153061.506,647.0760792787886,652.0028673206152
155016.41999999998,650.5289648258249,650.6466183641131
156971.334,647.0091136527036,646.5716340817322
158953.782,646.1895326834194,645.7295285944529
160908.696,644.9002944576916,644.4738294092202
162863.61,641.1190976370925,640.7264448678377
164846.058,641.3087160794755,640.9420316602547
166800.97199999998,642.5395639198359,642.1933724143047
168755.886,645.2325640401982,644.9027957096738
170710.8,647.2458475784504,646.9303819142827
172693.248,642.4451582683351,642.1454166669571
174648.16199999998,871.7449740841267,757.2464714125742
176603.076,869.0235978681116,816.8480919693724
178557.99,879.4231942512772,854.9231843671033
180540.438,881.3029788767597,869.8861133201667
182495.35199999998,874.8430524249873,869.4587596181685
184450.266,882.4021973687351,879.7980756784307
186405.18,865.3392728910576,864.1048144599838
188387.628,877.1891485445735,876.5860751583076
190342.542,869.5006467380574,869.2077765620763
192297.456,872.3414014062009,872.1966433972115
194279.90399999998,881.4291986876814,881.3574884696596
196234.818,867.6360932675136,867.6242729640155
198189.732,867.8924954798807,867.8891089264304
200144.64599999998,871.1358902718221,871.1337088987968
202127.09399999998,868.655743264579,868.6537619092649
204082.008,866.4470276411208,866.4450894787398
206036.922,882.1193652455405,882.1174017041745
207991.83599999998,871.2237065273443,871.2217673897117
209974.28399999999,875.8436956094633,875.8417410920734
211929.198,867.7554199049688,867.7534749556951
213884.112,874.900641284941,874.8986691802783
215839.02599999998,868.997871093319,868.9958992580575
217821.474,873.3293364782226,873.8903652592109
219776.38799999998,876.7157717016355,878.8828715885626
221731.302,866.3652044848777,871.2124631081675
223713.75,857.8246063432414,866.3770758682651
225668.664,840.5385138011094,853.3314994427827
227623.57799999998,816.9584851885722,834.1806626076615
229578.492,790.6073840734949,812.1300961839551
231560.94,768.6679646606807,794.359185453129
233515.854,741.2493661972552,770.334519637741
235470.76799999998,709.0935516332802,740.6735050173729
237425.682,674.260276226869,707.398373185211
239408.13,676.6350889356852,681.2048710091293
241363.044,687.1773525630897,687.3153241116011
243317.95799999998,684.9177550741855,684.5344361343397
245272.872,682.5551849339244,682.148835535972
247255.31999999998,676.9058605878678,676.531455995693
249210.234,680.9968394928619,680.6479799142732
251165.148,683.4828332832367,683.1556595189003
253147.596,676.3918176057559,676.0869715747839
255102.50999999998,678.7330277182328,678.442822422033
257057.424,680.9484802348752,680.6707818158911
259012.338,674.9267053521197,674.6630305899607
260994.786,872.6148602583754,774.3835265069864
262949.7,867.2952260758863,822.6777288553546
264904.614,873.6637564420464,852.8129145458573
266859.528,872.7309611623964,862.9445248655819
268841.97599999997,880.7889450217747,876.14646105166
270796.89,868.2378050034179,866.0436521874396
272751.804,876.1850509476543,875.1148108978612
274734.252,871.7308518853487,871.2177276258536
276689.16599999997,876.083509702895,875.8308782112887
278644.08,874.591418433879,874.4671743559114
280598.994,872.579407931937,872.5180346806143
282581.442,874.0595715322199,874.0491045078368
284536.35599999997,873.4217392094586,873.4188107146337
286491.26999999996,875.0224425146107,875.0205920562407
288446.184,874.1188240401834,874.1171464028967
290428.632,873.3342003814721,873.3325586502475
292383.546,881.5912029806356,881.5895540562404
294338.45999999996,878.2438147552119,878.242172241729
296293.374,879.881753882187,879.8801040571474
298275.822,881.1317798547349,881.130120312144
300230.736,879.830104650035,879.8284380769595
302185.64999999997,868.5041630704338,868.5025069255893
304168.098,870.6281700911487,871.0746168305492
306123.012,866.7655615772815,868.524705696581
308077.926,873.0220596892954,877.0832006844033
310032.83999999997,857.9146986755234,865.0352687045805
312015.288,836.6450779812915,847.3841914144156
313970.202,830.4472157616635,845.2845488528416
315925.116,812.399295816174,831.2252996123975
317880.02999999997,782.4324225632762,804.730423477743
319862.478,757.8350961582439,783.3666918071299
321817.392,724.9992273464993,752.8574817476402
323772.306,697.0780618398268,726.8060470688303
325727.22,707.1439860951601,711.737854637804
327709.668,705.3077207254615,705.4648978788434
329664.582,706.4471410199177,706.1042040088531
331619.496,709.2263626702161,708.8563210719434
333601.94399999996,703.082024576661,702.740900497022
335556.858,704.4120942642814,704.0955794638882
337511.772,701.2373542128297,700.9429612451784
339466.686,702.6522256939957,702.3742876374561
341449.13399999996,698.4478281458711,698.1859393012401
343404.048,704.1333118029213,703.8814871417999
345358.962,704.288782106888,704.0474778432326
347313.876,873.7581019562217,784.2750777526193
349296.32399999996,864.6779238293769,824.6723050343679
351251.238,871.6360545746314,852.9328067885932
353206.152,872.7390588905621,863.9421912134668
355161.066,861.3865228985014,857.2635135919684
357143.51399999997,870.240752649601,868.2646559348517
359098.428,867.143166177602,866.1915644679791
361053.342,873.2026918958165,872.7362854058991
363035.79,875.6364091296647,875.4096081735225
364990.70399999997,871.1324919172796,871.0213460551757
366945.61799999996,875.9625029480018,875.9071727115166
368900.532,874.1414686717117,874.1315836543341
370882.98,866.121094599678,866.1184754491273
372837.894,874.2467008195778,874.245062927985
374792.80799999996,872.736269411433,872.7347921587535
376747.722,864.8169991488403,864.8155662901682
378730.17,879.5849679131488,879.5835183478322
380685.084,866.5343218084371,866.5328939515008
382639.99799999996,878.257292668173,878.2558417814175
384622.446,867.0667043909341,867.0652655980203
386577.36,879.1954754328092,879.194008150786
388532.274,872.4386963905786,872.4372306025263
390487.18799999997,871.682598609326,872.0454400159225
392469.636,870.018788800831,871.5348311102827
394424.55,864.392951541871,867.8851675150241
396379.464,853.5858603564782,859.7821829591322
398334.37799999997,846.2261376845285,855.7239281045551
400316.826,842.5047106263304,855.7900459298447
402271.74,805.3051438501324,821.8325334318704
404226.654,790.1016160254045,810.1083265477703
406181.56799999997,772.8881060111368,796.0541663483773
408164.016,738.1211823242991,763.5022014321472
410118.93,718.3599875949127,745.8934614599548
412073.844,723.3728439558242,727.8993226226445
414056.29199999996,719.5986755150751,719.7766280946372
416011.206,722.622567629666,722.3082022476732
417966.12,716.761826971101,716.42292243247
419921.034,723.1530452347944,722.8344259903922
421903.48199999996,713.783536998425,713.4926397554634
423858.396,712.3213348843808,712.0501426244806
425813.31,722.7094457537728,722.450227991961
427768.224,719.8871593733198,719.6422417566764
429750.67199999996,716.209261366492,715.9770198916476
431705.586,721.6923657261949,721.4681725794757
433660.5,876.6457940742829,793.3198446505473
435615.414,877.5159092443196,839.4350229091435
437597.86199999996,867.9923269375907,850.7181589913988
439552.77599999995,869.1211040195819,860.9982696706093
441507.69,875.8183112229742,871.9321864345077
443490.138,878.8430102050012,876.9933891657832
445445.05199999997,871.6318818396555,870.7454832192255
447399.96599999996,874.7116258237186,874.2787292999859
449354.88,874.5721282787433,874.3601555534683
451337.328,872.1555332933594,872.0524543821507
453292.24199999997,872.0088398785508,871.9578220333356
455247.15599999996,873.8383305931363,873.8289236328857
457202.07,868.8056524549844,868.8031761349127
459184.518,873.1181049763896,873.1166101394783
461139.432,874.047403707986,874.0460580807893
463094.34599999996,874.6451295417672,874.6438126195264
465049.26,866.5514731355161,866.5501755553082
467031.708,871.7332781595369,871.7319731275097
468986.622,876.5478716052355,876.5465560379226
470941.53599999996,874.6973668103585,874.6960482733577
472923.984,873.0378284187941,873.0365047477131
474878.898,877.3262297638233,877.3248906478566
476833.812,872.2734118085884,872.5851373809666
478788.72599999997,873.2301620728797,874.5557138851738
480771.174,868.9487911038294,872.0876536481021
482726.088,859.4624756190206,865.078086791861
484681.002,849.8784704165047,858.5046261351334
486635.91599999997,833.4693037535425,845.3490716551743
488618.364,816.4964984017306,831.7554822195439
490573.278,800.990515680571,819.514752229461
492528.192,770.275956569577,791.426056413718
494510.63999999996,747.5129241314296,771.1375852167304
496465.554,719.8325832454638,745.2843268038486
498420.468,734.3460663742111,738.8852846681663
500375.382,732.2693965283503,732.4880729332536
502357.82999999996,731.1148827431944,730.8228542254462
504312.744,736.3606454099365,736.037097240141
