t,tf0,ts0
0.0,0.7477063084311671,0.7736652192268079
27.534,0.16431914549210036,0.785270768001774
55.068,0.7619546506853414,0.7342203300642244
82.602,0.8424955156130504,0.22595107271320902
110.136,0.04299391805933417,0.3515924740680779
137.67,0.2151778245326771,0.8527214190447733
165.204,0.5145815426505799,0.5434118378710138
192.738,0.29438467155946535,0.8917454632463673
220.272,0.08179123681428369,0.4425022150241148
247.80599999999998,0.8520877591440039,0.5756724037761326
275.34,0.8541708014847685,0.35493937739793446
302.87399999999997,0.6514700525113359,0.28603478674381333
330.408,0.08607874526573855,0.09073043620635779
357.942,0.083330378516971,0.6879730592409882
385.476,0.0065218295910983715,0.1912550180221626
413.01,0.8979501488713155,0.6727714472397548
440.544,0.807783494522628,0.6058558644297211
468.078,0.04983402829664141,0.3326060706909283
495.61199999999997,0.36982268187861456,0.45186333383569566
523.146,0.5485390829289397,0.9584139845970727
550.68,0.5578024649351986,0.6273652988973083
578.2139999999999,0.367759636808506,0.9896322491193309
605.7479999999999,0.5018703028895874,0.7446023793857547
633.2819999999999,0.9844293717937941,0.4748852442239444
660.816,0.3444237831979502,0.8758263192398555
688.35,0.3266087523805128,0.9288694650373572
715.884,0.7275224465673278,0.5102445939915875
743.418,0.24622141296333733,0.664006729165139
770.952,0.6598130554719115,0.783037648882977
798.486,0.18139684611597295,0.454793029771292
826.02,0.5273076671539882,0.8434591818683704
853.554,0.7969885346648625,0.9237295659455068
881.088,0.5826075344766496,0.6748199447557569
908.622,0.7287945527412226,0.5106149873293317
936.156,0.5784463934213679,0.17897609784583401
963.6899999999999,0.09032014880048533,0.27173260092124596
991.2239999999999,0.6852717388647733,0.6147389413223269
1018.7579999999999,0.9759048369993514,0.6219914486003002
1046.292,0.9298136399133614,0.17537810155308475
1073.826,0.7370074283820472,0.7343486113125544
1101.36,0.2774973182791808,0.49842829353787066
1128.894,0.7449048188579113,0.3954571531754365
1156.4279999999999,0.11666826161736743,0.35652959516689
1183.962,0.519754464537858,0.6073616099573622
